c_schoolname,district,areacode,address,date
譽翰文理技藝短期補習班,三重區,65000020,重陽路4段83、85號(各1樓)、正義北路364巷33號(1樓),41456
私立聯發文理短期補習班,三重區,65000020,正義北路206、208號各11樓,41358
私立珩蓁語文文理美術短期補習班,三重區,65000020,重新路4段98號3樓之1、98號4樓,41326
私立士大文理技藝短期補習班,三重區,65000020,大智街206號(1樓)、208號(1、2樓),41278
私立智仁文理語文短期補習班,三重區,65000020,永福街89號1樓,41249
私立諾貝爾資優文理語文短期補習班,三重區,65000020,永福街46巷41弄61號1樓,41232
私立威斯康語文短期補習班,三重區,65000020,集賢路87之1號1樓含夾層,41100
私立學仕語文文理短期補習班,三重區,65000020,重新路三段202號1、2、4樓、204號4樓,41037
私立尼可文理美語短期補習班,三重區,65000020,福德北路46號3樓、48號3樓、52號3樓,41023
私立洪堯順美術語文短期補習班,三重區,65000020,自強路1段85號2樓,40828
私立育英音樂美術短期補習班,三重區,65000020,重新路4段10號2樓、10之1號2樓,40819
私立英帆文理語文電腦音樂美術珠算短期補習班,三重區,65000020,重陽路1段50號1、2樓,40794
私立煒群文理語文短期補習班,三重區,65000020,重陽路1段50號3、4樓,40794
私立頂尖文理語文短期補習班,三重區,65000020,三民街77號2樓,40745
私立新永福文理語文珠心算作文美術短期補習班,三重區,65000020,下竹圍街1號1樓、6號1、2、3樓,40724
私立萊恩美語文理短期補習班,三重區,65000020,大同南路232之1號1樓、232之3號1樓,40717
私立創勝語文文理短期補習班,三重區,65000020,力行路1段179巷11號1樓,40715
私立哈佛文理語文短期補習班,三重區,65000020,永福街187號1、2樓,40667
私立亞特音樂短期補習班,三重區,65000020,永福街72巷25號1樓,40658
私立快樂窩語文文理短期補習班,三重區,65000020,仁愛街42號1、2樓,40609
私立新重新語文短期補習班,三重區,65000020,重新路2段17、19、21號1樓、23號地下1樓,40571
私立德碩文理語文短期補習班,三重區,65000020,集美街43號2、3樓,40571
私立陳麗如音樂短期補習班,三重區,65000020,重新路4段45號2樓,40571
私立紀算文理語文美術電腦短期補習班,三重區,65000020,中正北路19號2樓,37344
私立精英國際教育管理顧問股份有限公司附設精英國際重陽文理語文珠心算美術短期補習班,三重區,65000020,中正北路188號1、2樓、2樓之1,40536
私立碩晟文理語文短期補習班,三重區,65000020,三和路4段20巷112號1樓、99之3號4樓,40536
私立百世教育科技股份有限公司附設百仕文理短期補習班,三重區,65000020,重新路4段43號2樓,40534
百世教育科技股份有限公司附設百試文理短期補習班,三重區,65000020,重陽路4段132號5樓,40527
私立高峰文理短期補習班,三重區,65000020,忠孝路3段5號、5號2樓,40478
私立溫帝美語短期補習班,三重區,65000020,光明路117號1樓,40476
私立崇恩文理短期補習班,三重區,65000020,正義北路95號3樓,40455
私立智基科技開發股份有限公司附設珍志光文理法商短期補習班,三重區,65000020,正義北路218號1樓、2樓,40442
私立讚源文理短期補習班,三重區,65000020,正義北路218號3樓,40434
私立群贊語文短期補習班,三重區,65000020,秀江街120號2樓,40385
私立翔昇文理短期補習班,三重區,65000020,重陽路3段140號1、2、3、4樓,40385
私立聯誠電腦語文短期補習班,三重區,65000020,正義北路27號1、2、3、4樓,40301
私立貝朵舞苑舞蹈瑜珈短期補習班,三重區,65000020,重陽路1段108號2樓,40255
私立彩虹國創藝美術短期補習班,三重區,65000020,正義北路220號2樓,40241
私立新育林語文珠心算短期補習班,三重區,65000020,自由街18巷19號1樓、40號1樓,40108
私立大集美文理短期補習班,三重區,65000020,集美街211號2樓,40060
私立蓁品文理技藝短期補習班,三重區,65000020,民生街61巷8號2樓,40030
私立清華數理語文文理短期補習班,三重區,65000020,集美街112巷13、15號(各1樓)、集美街122號1樓,39982
私立威妮斯特堡語文短期補習班,三重區,65000020,三信路5號2樓,39901
私立哈佛學苑文理美語短期補習班,三重區,65000020,重陽路2段52巷83弄5號(1層)、5號(2樓),39860
私立熊振文理短期補習班,三重區,65000020,正義南路85號1、2樓,39834
私立鼎盛語文電腦短期補習班,三重區,65000020,力行路2段148號2樓之1,39764
私立愛伯特音樂舞蹈短期補習班,三重區,65000020,重新路四段98號2樓,39743
私立佳思美文理技藝短期補習班,三重區,65000020,大智街190號1樓,39745
私立恆德文理短期補習班,三重區,65000020,三和路4段16號3樓,39699
私立科踐語文文理短期補習班,三重區,65000020,重新路2段1之4號1~4樓,39594
私立威至文理語文短期補習班,三重區,65000020,集美街126巷10號2樓,39569
私立奧森文理語文短期補習班,三重區,65000020,集美街112巷7號1樓,39512
私立王大衛文理語文短期補習班,三重區,65000020,介壽路5號(2、3、4層),39450
私立百得文理短期補習班,三重區,65000020,碧華街284號1樓,39450
私立冠元語文短期補習班,三重區,65000020,中華路16號2樓,39434
私立盒子文理語文短期補習班,三重區,65000020,正義北路279號5樓之1,39429
私立新邦仁語文文理短期補習班,三重區,65000020,大同南路146巷65號1樓,39423
私立理想瑜伽短期補習班,三重區,65000020,大勇街32號,39412
私立艾美樂文理語文短期補習班,三重區,65000020,集美街126巷19號(1樓),39329
私立書林文理短期補習班,三重區,65000020,永福街75號1、4樓,39307
私立文彥語文短期補習班,三重區,65000020,重陽路4段34、36、38號(各2樓),39296
私立育苗資優文理語文短期補習班,三重區,65000020,三和路3段79號(由79、81號各1樓、79號地下1層共3戶合併),39295
